author,rating,date,review_text
Alish Khabiyev,5,12 апреля 2025,👍
Radmir Asimzhanov,5,"сегодня, отредактирован",Админ Акрам отлично помог 👍🏻
Балжан Мелс,5,сегодня,"Хочу выразить благодарность замечательной официантке Жулдыз! Очень вежливая, внимательная и доброжелательная. Всегда с улыбкой, быстро обслужила, помогла с выбором блюд, учла все пожелания. Благодаря ей визит в ресторан оставил только приятные впечатления. Спасибо, Жулдыз, за профессионализм и теплое отношение к гостям!☺️♥️"
Анара Сейдалиева,5,сегодня,Бизге барлыгы унады ыстык тамактары корсеткен обслужваниесы Жулдыз деген кыздын😍😍😍Тап таза
Raushan Uaisova,5,сегодня,"Очень нравится именно этот филиал Шефрана. Вкусная еда, отличная подача, интересный интерьер. Все официанты вежливые и аккуратные. Сегодня нас обслуживание Мансур. Вежливый молодой человек. Отличное обслуживание, быстрый заказ. Отдельная благодарность поварам. Желаю вам держать марку✊️процветания и удачи👍"
Айман Куанышева,5,сегодня,Стильный ремонт приятная обстановка приветливый админ Динара вкусная еда большие порции! Процветания вашему бизнесу!
Дидар Ырыстай,5,сегодня,"Посетил Shafran и остался под большим впечатлением! Интерьер уютный, с восточными акцентами — атмосфера располагает к приятному вечеру. Обслуживание на высоком уровне.

Особое спасибо хочется сказать нашей официантке Жулдыз — очень доброжелательная, внимательная и профессиональная. Она помогла с выбором блюд, всё подробно объяснила, с улыбкой отвечала на вопросы и создала тёплую атмосферу за столом. Благодаря ей вечер получился особенно приятным. Видно, что человек любит свою работу и старается для гостей. Побольше бы таких сотрудников!"
диасс диасссс,5,сегодня,"Акжол,спасибо ему за хорошое обслужвание,очень вкусные блюдо.к тому же быстро принес блюдо,спасибо еще раз оффицианту акжолу."
Ербатыр Топский,5,сегодня,"Вкусно и сытно. Хорошее обслуживание, спасибо официанту Акжол"
Асылхан Садуакасов,5,11 апреля 2025,"Бүгін отбасымызбен осы мейрамханадан кешкі асымызды іштік. Бәрі ұнады: тамақтары дәмді, жаңа демделгені көрініп тұр. Барлығын ыстық күйінде алып келді. Даяшылар да сыпайы, бізге қызмет көрсеткен Жұлдызға үлкен рахмет айтамыз. Келушілеріңіз көп болсын!"
III III,1,"11 апреля 2025, отредактирован","Принесли плов холодным, к тому же запах был странный — как будто он уже испорчен. Есть не стал. Очень разочарован"
Закона послушный Гражданин,5,11 апреля 2025,Ставлю 5 за обслуживание начиная с Администратора Дана! Официанты очень вежливые! Еще и зал дизайн просто бомба! Просто супер! 👍👍👍👍
Kuanysh Turembek,5,11 апреля 2025,Рахмет бәрі керемет! Именно осы яссауидегі Шафран керемет! Официант қыздарға рахмет бәрі уақытымен админ Данаға рахмет жұмыстарын жақсы атқарады екен! Маған ұнады!
Есхат Қабылхан,5,11 апреля 2025,"Плов ұнады дами керемет !
Қызмет көрсеткен Диана қызға
Админстратор Дана ханымға рахмет меню ұсынып қызмет көрсеткен"
Гүлсімай Калдурдыева,5,11 апреля 2025,"Тамақтары обслуживание бәрі ұнады, Құралай официантқа рахмет, жақсы тіл табысады клиенттермен🫶🏻"
No Number,5,10 апреля 2025,Усманга рахмет общительный жигит екен ностроениемизди котерип жберди
_ djulamanovvv_,5,10 апреля 2025,"Сегодня посидели в шафране все понравилась особенно обслуживание
По имени официантка Аружан"
Айдос Тим,5,10 апреля 2025,Приятное обслужования спасибо Мансуру топчик
Бекарыс Сапарбаев,5,10 апреля 2025,"Бугын осы шафранда отырганбыз Чикен строгонов заказ бердим оте дамди болды
Бизге кызымет корсеткен кызга рахмет айтамын Перизат кайтадан келемиз рахмет"
Asylaiy Onl,5,10 апреля 2025,Куралай офик красавица спасибо за обслуживание👍
Жанабай Нурмахамбет,5,10 апреля 2025,Спасибо за прекрасный вечер) Уютная атмосфера официант Жулдыз обслуживание топ🫶🏽♥️
Балжан Дуйсенбаева,5,10 апреля 2025,"Спасибо огромное за кухню, за высокий уровень, гастрономии и сервису."
Symbat Aralbay,5,10 апреля 2025,Классный сервис и очень вкусно 😊 админы и официанты молодцы 👏
Aidana_ Do,5,10 апреля 2025,Очень уютное место с вкусной едой и доброжелательным персоналом ❤️❤️
Leila Sarybai,5,10 апреля 2025,"Персонал очень вежливый и дружелюбный, приятная обстановка и вкусная еда 😋✨"
Yerkezhan Mels,5,10 апреля 2025,"Очень вкусно, не первый раз уже посещаем этот филиал. И еда, и персонал👍 особенно админ Махлио, уже узнает нас со входа))"
Alina Mereke,5,10 апреля 2025,"Еда на высшем уровне, приятная атмосфера и приветливый персонал 🫶🏻"
Yerassyl Zhaksylykov,5,10 апреля 2025,"Еда вкусная, обслуживание на высшем уровне, не было и недели, чтоб там не кушал. Уже любимое место стало, советую 👍🏼"
Eldar Maximov,5,10 апреля 2025,"Время от времени захожу в это заведение, уютно и вкусно, не могу не отметить работу персонала, особенно администратора, если не ошибаюсь Махлио, все супер"
Madina Esenbekkyzy,5,10 апреля 2025,"Недавно посетили этот ресторан и остались очень довольны! Уютная атмосфера, внимательный персонал и очень вкусная еда."
Adilet Bakytkerey,5,10 апреля 2025,"Лучшее место для проведения лучшего вечера. Советую всем приходить и наслаждаться новым интерьером.
Спасибо за лучший сервис хочу отметить персонал очень улыбчивые добрые ребята.Еда очень вкусная на высшем уровне. По больше бы таких мест в нашем городе"
Nurdana Ryszhanova,5,9 апреля 2025,"Отличное место! Вкусная еда, уютная атмосфера. Приятно удивило обслуживание, персонал вежливый, внимательный, всё приносят быстро и с улыбкой. Всё понравилось, обязательно вернусь!"
Nurgissa Qanatbaiuly,5,9 апреля 2025,"Хорошее обслуживание👍🏻
Администрация и официанты молодцы"
Amina .,5,"9 апреля 2025, отредактирован","Персонал хорошо обслуживает и еда вкусная, уютно ✨"
Laura Sarsen,5,9 апреля 2025,"Классное заведение, хороший персонал, вкусная еда✨"
Жадыра Кашакова,5,9 апреля 2025,Администраторы и официанты лучшие 🙏🏻
Законопослушный Гражданин,5,"9 апреля 2025, отредактирован","Отменная кухня , приветливый персонал . Приятная атмосфера и красивый интерьер . Одно из наших излюбленных мест в Алматы . Процветания вам и довольных гостей . ✊🏼"
Midin Miraliyev,5,"9 апреля 2025, отредактирован","Отличное место, все очень понравилось. Сервис на высоте. Еда бомба. Администратор Махлио очень внимательная и вежливая."
