Semester,Course Code,Course Title,Credit,ECTS,Grade,Letter Grade,Point,Traditional
2023 - 2024. 1,MAT 106,Information and Communication Technologies (in English),3,5,73,C+,2.33,Good
2023 - 2024. 1,MAT 123,Linear Algebra,4,5,86,B+,3.33,Good
2023 - 2024. 1,MCM 103,Calculus 1,4,5,56,D+,1.33,Satisfactory
2023 - 2024. 1,MDE 131,Turkish Language 1 (А1 level),2,3,88,B+,3.33,Good
2023 - 2024. 1,MDE 160,Community engagement and value based Society 1,1,0,94,P,,Pass
2023 - 2024. 1,MDE 171,History of Kazakhstan,3,5,81,B,3,Good
2023 - 2024. 1,MDE 190,Foreign Language 1 (English for Academic Purposes - B1 level ),3,5,90,A-,3.67,Excellent
2023 - 2024. 1,MDE 291,Physical Education 1,1,2,89,B+,3.33,Good
2023 - 2024. 2,CSS 105,Fundamentals of Programming,4,5,86,B+,3.33,Good
2023 - 2024. 2,CSS 331,Operating Systems,3,5,71,C+,2.33,Good
2023 - 2024. 2,INF 203,Information security,3,5,75,B-,2.67,Good
2023 - 2024. 2,MAT 156,Discrete Mathematics,3,5,78,B-,2.67,Good
2023 - 2024. 2,MDE 132,Turkish Language 2 (А1 level),2,3,87,B+,3.33,Good
2023 - 2024. 2,MDE 170,Community engagement and value based Society 2,1,0,93,P,,Pass
2023 - 2024. 2,MDE 191,Foreign Language 2 (English for Academic Purposes - B1+ level ),3,5,85,B+,3.33,Good
2023 - 2024. 2,MDE 292,Physical Education 2,1,2,89,B+,3.33,Good
2024 - 2025. 1,CSS 108,Programming Technologies and Educational Practice,3,5,65,C,2,Satisfactory
2024 - 2025. 1,CSS 217,Software Architecture and Design Patterns,3,5,82,B,3,Good
2024 - 2025. 1,MAT 138,Mathematics for Information Systems 2,3,5,64,C-,1.67,Satisfactory
2024 - 2025. 1,MDE 125,Russian Language 1 (B2 level),3,5,80,B,3,Good
2024 - 2025. 1,MDE 133,Turkish Language 3 (А2 level),2,3,80,B,3,Good
2024 - 2025. 1,MDE 153,Module of Social and Political Knowledge  (Cultural Studies),1,2,86,B+,3.33,Good
2024 - 2025. 1,MDE 154,Module of Social and Political Knowledge  (Psychology),1,2,97,A,4,Excellent
2024 - 2025. 1,MDE 293,Physical Education 3,1,2,89,B+,3.33,Good
2024 - 2025. 2,INF 202,Database Management Systems 1,3,5,,IP,,In progress
2024 - 2025. 2,INF 207,Introduction to Business for IT,3,5,,IP,,In progress
2024 - 2025. 2,INF 313,Computer networks 1,3,5,,IP,,In progress
2024 - 2025. 2,MAT 251,Probability and Mathematical Statictics,4,5,,IP,,In progress
2024 - 2025. 2,MDE 126,Russian Language 2 (B2 level),3,5,,IP,,In progress
2024 - 2025. 2,MDE 134,Turkish Language 4 (А2 level),2,3,,IP,,In progress
2024 - 2025. 2,MDE 294,Physical Education 4,1,2,,IP,,In progress
